word,category,arousal,imageability,valence,arm,leg,bias,bias_absol,word_logfreq,lemma_logfreq,pos_ambig,bigram_logfreq,trigram_logfreq,nletters,nphon
slå,arm,4.12,5.52,2.32,6.91666666666667,1.33333333333333,5.58333333333333,5.58333333333333,4.332398058549754,4.7111236262021166,0.07899120528757453,5.702365007693011,4.75926735386913,3,3
slipa,arm,2,5.72,4.04,6.66666666666667,1.66666666666667,5,5,2.1903316981702914,2.88930170250631,0.23267326732673266,5.785430190268949,4.498780110362876,5,5
slunga,arm,2.12,5.4,3.84,6.58333333333333,1.25,5.33333333333333,5.33333333333333,1.6812412373755872,2.250420002308894,0.1563981042654028,5.9874532587009845,5.171565267707113,6,5
snärta,arm,3.48,5.16,2.88,6,1,5,5,1.7160033436347992,1.6532125137753437,0.4767441860465116,6.124176504693338,5.096737384660352,6,5
sno,arm,3.08,5.08,2.28,6.08333333333333,1.33333333333333,4.75,4.75,3.1986570869544226,3.474507639116976,0.20733652312599682,5.68837804155762,4.119024820114783,3,3
svabba,arm,2.04,5.56,3.76,6.33333333333333,1.5,4.83333333333333,4.83333333333333,1.5440680443502757,1.662757831681574,0.13207547169811318,5.750395250223486,4.38343676678051,6,5
torka,arm,1.8,5.76,3.76,6.75,1.5,5.25,5.25,3.3163897510731952,3.516667559099043,0.2248171738617598,6.152986398209512,5.077631619315446,5,5
tvätta,arm,2.12,5.96,4.44,6.66666666666667,1.41666666666667,5.25,5.25,3.5750723257138124,3.7975445143617264,0.0887436456063907,6.11854269827914,5.05244626969097,6,5
vika,arm,1.88,5.96,4.16,6.41666666666667,1.16666666666667,5.25,5.25,2.926342446625655,2.932473764677153,0.22743682310469315,6.264135027016203,4.984560596715108,4,4
vira,arm,1.4,4.84,3.96,6.33333333333333,1.58333333333333,4.75,4.75,2.143014800254095,2.361727836017593,0.053497942386831254,6.211803140169213,4.395432152668629,4,4
cykla,leg,2.84,6.56,5.2,3.08333333333333,6.41666666666667,-3.33333333333333,3.33333333333333,2.8115750058705933,2.957128197676813,0.21011333914559716,5.35992089339745,4.28120304804831,5,5
flanera,leg,1.48,4.12,4.8,2.58333333333333,5.5,-2.91666666666667,2.91666666666667,1.1139433523068367,1.4471580313422192,0.125,6.401208355238792,5.311175906529053,7,7
fly,leg,4.16,5.72,2.28,2.25,6.75,-4.5,4.5,3.8978469315795716,3.6918768225593315,0.4217703068061597,5.508148144935995,5.022663395761671,3,3
gå,leg,1.88,5.64,4.24,1.5,7,-5.5,5.5,5.189038097659967,5.5894413246039205,0.022142078758150996,5.763107395882594,NA,2,2
glida,leg,2.16,5.44,4.6,1.91666666666667,5.41666666666667,-3.5,3.5,2.88024177589548,3.2166935991697545,0.1183083511777302,5.952504466018393,4.655806156048898,5,5
